Budget_Million,Runtime_Minutes,Rating,Release_Year,Language,Genre
16.26,91,8.3,2008,English,Action
86.51,151,6.2,2001,Hindi,Comedy
34.04,151,6.2,2007,Hindi,Drama
5.36,135,8.4,2019,French,Drama
72.82,137,5.0,2001,English,Action
148.43,96,8.5,2000,Spanish,Thriller
62.04,84,8.3,2010,French,Drama
49.48,157,7.7,2018,Spanish,Drama
196.98,162,7.1,2021,French,Action
116.93,133,6.4,2001,Hindi,Comedy
161.05,90,9.1,2021,Spanish,Action
77.44,130,8.9,2023,French,Drama
172.43,82,5.4,2002,Spanish,Action
80.66,109,6.5,2016,English,Comedy
142.34,143,9.3,2020,Hindi,Drama
215.85,99,9.5,2014,French,Action
7.18,138,5.5,2008,Spanish,Action
152.27,135,7.7,2000,English,Drama
114.72,170,4.9,2013,English,Drama
176.08,128,4.9,2022,French,Action
74.33,140,4.7,2017,Spanish,Action
94.03,83,7.7,2005,French,Comedy
18.81,166,5.2,2021,Hindi,Drama
164.98,160,4.8,2016,French,Thriller
120.57,98,9.1,2024,Spanish,Thriller
84.22,148,9.4,2016,English,Drama
177.49,129,6.7,2023,Hindi,Action
9.43,137,8.9,2023,French,Drama
175.09,83,5.3,2010,Hindi,Action
27.53,172,6.3,2018,Spanish,Comedy
24.96,144,5.7,2010,Spanish,Drama
90.61,144,4.9,2006,Hindi,Thriller
167.99,82,5.5,2018,Hindi,Action
73.16,123,7.3,2004,Hindi,Comedy
174.01,141,7.0,2012,English,Drama
60.22,153,8.8,2010,French,Comedy
136.1,80,9.0,2025,French,Action
130.69,168,4.8,2014,Spanish,Comedy
210.9,133,6.1,2006,French,Drama
78.75,176,5.5,2005,French,Thriller
215.1,87,8.7,2012,Spanish,Comedy
189.11,128,6.3,2009,English,Drama
16.81,128,4.8,2012,Spanish,Drama
28.11,153,8.3,2022,Spanish,Drama
100.77,136,7.3,2011,Hindi,Action
208.99,138,7.0,2008,Spanish,Comedy
210.29,103,5.1,2013,French,Thriller
120.05,140,9.5,2004,Spanish,Comedy
133.5,84,6.8,2019,Spanish,Action
73.93,129,5.6,2002,Spanish,Comedy
66.29,133,6.3,2001,English,Drama
111.81,101,5.5,2008,Hindi,Comedy
70.09,139,5.6,2016,English,Action
27.19,158,7.2,2008,Hindi,Comedy
116.95,88,7.7,2012,French,Thriller
28.85,152,6.7,2020,French,Thriller
116.22,99,7.0,2006,Hindi,Action
57.56,106,4.9,2000,English,Comedy
93.63,121,7.2,2001,Hindi,Drama
162.12,135,8.0,2005,Spanish,Drama
149.25,121,5.6,2000,Spanish,Thriller
53.36,108,7.1,2013,French,Comedy
125.5,129,4.9,2015,English,Action
107.26,172,9.1,2004,English,Drama
190.36,150,7.6,2014,Spanish,Drama
50.88,86,5.0,2024,English,Comedy
132.46,121,8.2,2024,Hindi,Comedy
95.04,140,5.2,2000,Hindi,Thriller
174.6,91,6.2,2003,Hindi,Action
97.49,105,7.8,2001,English,Comedy
37.61,139,8.0,2004,English,Drama
210.56,106,8.6,2007,French,Action
35.75,166,4.5,2010,French,Action
79.29,109,8.6,2001,English,Comedy
28.72,111,5.9,2004,English,Drama
173.77,157,9.0,2020,Spanish,Drama
84.68,96,8.7,2001,Spanish,Action
80.22,168,8.7,2025,Spanish,Drama
5.62,117,4.9,2023,Hindi,Drama
136.15,136,8.8,2023,Hindi,Drama
150.85,104,5.5,2011,French,Drama
145.5,150,9.4,2005,French,Drama
161.67,177,9.1,2020,Hindi,Drama
44.56,97,9.5,2019,English,Thriller
63.15,89,6.3,2008,Spanish,Action
32.97,132,5.0,2008,English,Comedy
148.24,95,9.4,2010,Spanish,Drama
99.49,110,4.5,2003,English,Thriller
205.44,136,8.7,2011,Hindi,Comedy
88.29,133,5.5,2000,French,Comedy
32.87,90,5.4,2008,French,Comedy
195.05,119,4.8,2000,English,Thriller
62.21,86,7.7,2017,Hindi,Action
193.13,119,7.5,2025,Spanish,Comedy
71.24,105,6.6,2015,English,Drama
95.89,99,5.4,2001,Hindi,Thriller
197.97,88,6.7,2006,French,Action
180.69,135,8.1,2011,English,Comedy
24.28,85,9.2,2009,English,Comedy
12.66,162,7.1,2022,English,Thriller
